slide_index,concept_disagreement,triple_disagreement
1,2,1
2,0,4
3,5,3
4,4,3
5,6,1
6,0,1
7,4,0
8,2,1
9,4,1
10,5,0
11,3,0
12,0,1
13,6,0
14,2,1
15,3,3
16,9,1
17,5,1
18,3,0
19,1,2
20,2,1
21,0,0
22,6,0
23,5,0
24,5,0
25,1,2
26,3,1
27,8,2
28,5,2
29,6,0
30,6,0
31,4,0
32,8,0
33,9,0
34,7,1
35,0,1
36,0,1
37,0,0
38,8,0
39,2,3
40,6,0
41,6,1
42,2,0
43,8,2
44,5,1
45,0,2
46,9,2
47,5,0
48,0,0
49,9,2
50,2,1
51,5,2
52,1,0
53,1,0
54,3,0
55,9,1
56,7,2
57,7,1
58,1,0
59,7,0
60,1,0
61,1,1
62,1,0
63,1,0
64,1,0
65,11,0
66,4,2
67,1,1
68,1,0
69,1,0
70,1,3
71,1,0
72,2,0
73,5,2
74,5,0
75,11,0
76,1,0
77,6,0
78,9,0
79,3,1
80,1,1
81,5,1
82,1,0
83,1,0
84,6,0
85,1,1
86,1,1
87,1,1
88,1,3
89,1,0
90,7,0
91,9,0
92,1,0
93,1,0
94,4,1
95,1,0
96,8,0
97,1,1
98,1,0
99,1,0
100,1,0
101,2,1
102,6,2
103,3,1
104,4,0
105,8,1
106,9,2
107,5,0
108,6,1
109,2,1
110,0,1
111,5,2
112,5,0
113,7,0
114,6,0
115,6,0
116,0,1
117,5,0
118,0,2
119,0,0
120,8,4
121,3,1
122,0,1
123,7,0
124,2,1
125,9,2
126,0,1
127,0,1
128,3,0
129,0,3
130,0,4
131,5,1
132,7,1
133,0,0
134,0,1
135,6,1
136,0,1
137,0,0
138,8,0
139,6,0
140,7,1
141,3,0
142,8,2
143,8,2
144,0,3
145,0,2
146,6,0
147,0,0
148,5,0
149,0,1
150,4,0
151,3,1
152,4,0
153,9,0
154,8,0
155,0,0
156,5,0
157,8,2
158,7,1
159,7,2
160,0,3
161,9,4
162,5,2
163,7,1
164,4,2
165,7,1
166,7,1
167,1,0
168,8,0
169,9,3
170,6,2
171,3,2
172,0,0
173,8,0
174,0,1
175,0,0
176,10,0
177,8,3
178,5,2
179,0,1
180,8,0
181,7,0
182,6,3
183,7,1
184,0,1
185,0,2
186,7,2
187,4,1
188,0,0
189,7,0
190,7,0
191,9,0
192,0,0
193,0,3
194,5,0
195,0,1
196,0,1
197,5,1
198,5,2
199,0,3
200,0,0
201,10,0
202,0,4
203,8,0
204,0,0
205,5,0
206,8,4
207,7,0
208,9,0
209,5,1
210,3,0
211,0,1
212,10,2
213,0,0
214,5,0
215,7,1
216,1,0
217,1,0
218,1,1
219,7,0
220,7,1
221,1,0
222,1,0
223,3,1
224,1,1
225,1,0
226,9,1
227,9,1
228,1,0
229,8,0
230,1,1
231,1,0
232,8,0
233,8,0
234,1,0
235,7,0
236,1,0
237,6,1
238,1,0
239,9,0
240,6,1
241,5,0
242,1,0
243,3,2
244,8,1
245,6,2
246,10,0
247,4,0
248,1,1
249,6,1
250,5,0
251,8,1
252,5,0
253,4,0
254,8,0
255,5,1
256,2,1
257,3,0
258,1,2
259,6,0
260,4,1
261,3,2
262,1,0
263,12,1
264,1,1
265,3,1
266,5,1
267,0,0
268,2,0
269,6,0
270,7,0
271,4,3
272,4,2
273,10,2
274,6,2
275,1,1
276,1,1
277,6,0
278,7,2
279,6,2
280,7,0
281,5,3
282,7,3
283,0,0
284,0,1
285,0,1
