lecture,slide_id,model_name,num_concepts_run1,num_concepts_run2,num_triples_run1,num_triples_run2,concept_jaccard,triple_jaccard
Lecture 1,Slide1,OpenGVLab__InternVL3-14B,2,2,1,1,1.0,1.0
Lecture 1,Slide1,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide1,Qwen__Qwen3-VL-4B-Instruct,3,3,0,0,1.0,1.0
Lecture 1,Slide1,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide10,OpenGVLab__InternVL3-14B,1,1,4,4,1.0,1.0
Lecture 1,Slide10,Qwen__Qwen2-VL-7B-Instruct,1,1,1,1,1.0,1.0
Lecture 1,Slide10,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide10,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,1,1,1.0,1.0
Lecture 1,Slide11,OpenGVLab__InternVL3-14B,6,6,3,3,1.0,1.0
Lecture 1,Slide11,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide11,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide11,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide12,OpenGVLab__InternVL3-14B,5,5,3,3,1.0,1.0
Lecture 1,Slide12,Qwen__Qwen2-VL-7B-Instruct,5,5,0,0,1.0,1.0
Lecture 1,Slide12,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide12,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,1,1,1.0,1.0
Lecture 1,Slide13,OpenGVLab__InternVL3-14B,7,7,0,0,1.0,1.0
Lecture 1,Slide13,Qwen__Qwen2-VL-7B-Instruct,5,5,1,1,1.0,1.0
Lecture 1,Slide13,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide13,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide14,OpenGVLab__InternVL3-14B,1,1,1,1,1.0,1.0
Lecture 1,Slide14,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide14,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide14,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide15,OpenGVLab__InternVL3-14B,5,5,0,0,1.0,1.0
Lecture 1,Slide15,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide15,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide15,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide16,OpenGVLab__InternVL3-14B,1,1,1,1,1.0,1.0
Lecture 1,Slide16,Qwen__Qwen2-VL-7B-Instruct,2,2,0,0,1.0,1.0
Lecture 1,Slide16,Qwen__Qwen3-VL-4B-Instruct,1,1,1,1,1.0,1.0
Lecture 1,Slide16,llava-hf__llava-onevision-qwen2-7b-ov-hf,3,3,0,0,1.0,1.0
Lecture 1,Slide17,OpenGVLab__InternVL3-14B,5,5,1,1,1.0,1.0
Lecture 1,Slide17,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide17,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide17,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide18,OpenGVLab__InternVL3-14B,6,6,0,0,1.0,1.0
Lecture 1,Slide18,Qwen__Qwen2-VL-7B-Instruct,3,3,0,0,1.0,1.0
Lecture 1,Slide18,Qwen__Qwen3-VL-4B-Instruct,2,2,0,0,1.0,1.0
Lecture 1,Slide18,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide19,OpenGVLab__InternVL3-14B,4,4,0,0,1.0,1.0
Lecture 1,Slide19,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide19,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide19,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide2,OpenGVLab__InternVL3-14B,1,1,0,0,1.0,1.0
Lecture 1,Slide2,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide2,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide2,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,1,1,1.0,1.0
Lecture 1,Slide20,OpenGVLab__InternVL3-14B,2,2,0,0,1.0,1.0
Lecture 1,Slide20,Qwen__Qwen2-VL-7B-Instruct,7,7,0,0,1.0,1.0
Lecture 1,Slide20,Qwen__Qwen3-VL-4B-Instruct,5,5,0,0,1.0,1.0
Lecture 1,Slide20,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide21,OpenGVLab__InternVL3-14B,5,5,1,1,1.0,1.0
Lecture 1,Slide21,Qwen__Qwen2-VL-7B-Instruct,4,4,0,0,1.0,1.0
Lecture 1,Slide21,Qwen__Qwen3-VL-4B-Instruct,5,5,0,0,1.0,1.0
Lecture 1,Slide21,llava-hf__llava-onevision-qwen2-7b-ov-hf,6,6,0,0,1.0,1.0
Lecture 1,Slide22,OpenGVLab__InternVL3-14B,3,3,3,3,1.0,1.0
Lecture 1,Slide22,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide22,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide22,llava-hf__llava-onevision-qwen2-7b-ov-hf,4,4,0,0,1.0,1.0
Lecture 1,Slide23,OpenGVLab__InternVL3-14B,1,1,1,1,1.0,1.0
Lecture 1,Slide23,Qwen__Qwen2-VL-7B-Instruct,10,10,0,0,1.0,1.0
Lecture 1,Slide23,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide23,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide24,OpenGVLab__InternVL3-14B,5,5,1,1,1.0,1.0
Lecture 1,Slide24,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide24,Qwen__Qwen3-VL-4B-Instruct,3,3,0,0,1.0,1.0
Lecture 1,Slide24,llava-hf__llava-onevision-qwen2-7b-ov-hf,6,6,0,0,1.0,1.0
Lecture 1,Slide25,OpenGVLab__InternVL3-14B,4,4,0,0,1.0,1.0
Lecture 1,Slide25,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide25,Qwen__Qwen3-VL-4B-Instruct,4,4,0,0,1.0,1.0
Lecture 1,Slide25,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide26,OpenGVLab__InternVL3-14B,2,2,2,2,1.0,1.0
Lecture 1,Slide26,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide26,Qwen__Qwen3-VL-4B-Instruct,1,1,1,1,1.0,1.0
Lecture 1,Slide26,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide27,OpenGVLab__InternVL3-14B,3,3,1,1,1.0,1.0
Lecture 1,Slide27,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide27,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide27,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide28,OpenGVLab__InternVL3-14B,0,0,0,0,1.0,1.0
Lecture 1,Slide28,Qwen__Qwen2-VL-7B-Instruct,0,0,0,0,1.0,1.0
Lecture 1,Slide28,Qwen__Qwen3-VL-4B-Instruct,0,0,0,0,1.0,1.0
Lecture 1,Slide28,llava-hf__llava-onevision-qwen2-7b-ov-hf,0,0,0,0,1.0,1.0
Lecture 1,Slide29,OpenGVLab__InternVL3-14B,4,4,0,0,1.0,1.0
Lecture 1,Slide29,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide29,Qwen__Qwen3-VL-4B-Instruct,5,5,0,0,1.0,1.0
Lecture 1,Slide29,llava-hf__llava-onevision-qwen2-7b-ov-hf,7,7,0,0,1.0,1.0
Lecture 1,Slide3,OpenGVLab__InternVL3-14B,6,6,0,0,1.0,1.0
Lecture 1,Slide3,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide3,Qwen__Qwen3-VL-4B-Instruct,4,4,0,0,1.0,1.0
Lecture 1,Slide3,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide30,OpenGVLab__InternVL3-14B,6,6,0,0,1.0,1.0
Lecture 1,Slide30,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide30,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide30,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide31,OpenGVLab__InternVL3-14B,2,2,2,2,1.0,1.0
Lecture 1,Slide31,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide31,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide31,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide32,OpenGVLab__InternVL3-14B,1,1,1,1,1.0,1.0
Lecture 1,Slide32,Qwen__Qwen2-VL-7B-Instruct,2,2,0,0,1.0,1.0
Lecture 1,Slide32,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide32,llava-hf__llava-onevision-qwen2-7b-ov-hf,4,4,0,0,1.0,1.0
Lecture 1,Slide33,OpenGVLab__InternVL3-14B,1,1,2,2,1.0,1.0
Lecture 1,Slide33,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide33,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide33,llava-hf__llava-onevision-qwen2-7b-ov-hf,9,9,0,0,1.0,1.0
Lecture 1,Slide34,OpenGVLab__InternVL3-14B,6,6,1,1,1.0,1.0
Lecture 1,Slide34,Qwen__Qwen2-VL-7B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide34,Qwen__Qwen3-VL-4B-Instruct,1,1,2,2,1.0,1.0
Lecture 1,Slide34,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide35,OpenGVLab__InternVL3-14B,6,6,0,0,1.0,1.0
Lecture 1,Slide35,Qwen__Qwen2-VL-7B-Instruct,7,7,0,0,1.0,1.0
Lecture 1,Slide35,Qwen__Qwen3-VL-4B-Instruct,7,7,0,0,1.0,1.0
Lecture 1,Slide35,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide36,OpenGVLab__InternVL3-14B,5,5,0,0,1.0,1.0
Lecture 1,Slide36,Qwen__Qwen2-VL-7B-Instruct,7,7,0,0,1.0,1.0
Lecture 1,Slide36,Qwen__Qwen3-VL-4B-Instruct,6,6,0,0,1.0,1.0
Lecture 1,Slide36,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide37,OpenGVLab__InternVL3-14B,1,1,0,0,1.0,1.0
Lecture 1,Slide37,Qwen__Qwen2-VL-7B-Instruct,5,5,0,0,1.0,1.0
Lecture 1,Slide37,Qwen__Qwen3-VL-4B-Instruct,1,1,0,0,1.0,1.0
Lecture 1,Slide37,llava-hf__llava-onevision-qwen2-7b-ov-hf,1,1,0,0,1.0,1.0
Lecture 1,Slide38,OpenGVLab__InternVL3-14B,9,9,0,0,1.0,1.0
