lecture,slide_id,concepts_single,concepts_multi,concept_coverage_loss,concept_jaccard_single_vs_multi,triples_single,triples_multi,triple_coverage_loss,triple_jaccard_single_vs_multi
Lecture 1,Slide1,2,5,0.6,0.4,1,1,0.0,1.0
Lecture 1,Slide10,1,4,0.75,0.25,4,5,0.2,0.8
Lecture 1,Slide11,6,9,0.3333333333333333,0.6666666666666666,3,4,0.25,0.75
Lecture 1,Slide12,5,8,0.375,0.625,3,5,0.4,0.6
Lecture 1,Slide13,7,9,0.2222222222222222,0.7777777777777778,1,2,0.5,0.5
Lecture 1,Slide14,1,4,0.75,0.25,1,1,0.0,1.0
Lecture 1,Slide15,5,7,0.2857142857142857,0.7142857142857143,1,2,0.5,0.5
Lecture 1,Slide16,1,4,0.75,0.25,1,2,0.5,0.5
Lecture 1,Slide17,5,7,0.2857142857142857,0.7142857142857143,1,1,0.0,1.0
Lecture 1,Slide18,6,9,0.3333333333333333,0.6666666666666666,0,0,0.0,1.0
Lecture 1,Slide19,4,7,0.42857142857142855,0.5714285714285714,0,0,0.0,1.0
Lecture 1,Slide2,1,4,0.75,0.25,1,2,0.5,0.5
Lecture 1,Slide20,2,13,0.8461538461538461,0.15384615384615385,0,0,0.0,1.0
Lecture 1,Slide21,5,11,0.5454545454545454,0.45454545454545453,1,1,0.0,1.0
Lecture 1,Slide22,3,7,0.5714285714285714,0.42857142857142855,3,3,0.0,1.0
Lecture 1,Slide23,1,13,0.9230769230769231,0.07692307692307693,1,2,0.5,0.5
Lecture 1,Slide24,5,11,0.5454545454545454,0.45454545454545453,1,1,0.0,1.0
Lecture 1,Slide25,4,8,0.5,0.5,1,1,0.0,1.0
Lecture 1,Slide26,2,4,0.5,0.5,2,3,0.3333333333333333,0.6666666666666666
Lecture 1,Slide27,3,5,0.4,0.6,1,1,0.0,1.0
Lecture 1,Slide28,0,0,0.0,1.0,0,0,0.0,1.0
Lecture 1,Slide29,4,13,0.6923076923076923,0.3076923076923077,0,0,0.0,1.0
Lecture 1,Slide3,6,8,0.25,0.75,1,1,0.0,1.0
Lecture 1,Slide30,6,9,0.3333333333333333,0.6666666666666666,1,2,0.5,0.5
Lecture 1,Slide31,2,4,0.5,0.5,2,2,0.0,1.0
Lecture 1,Slide32,1,7,0.8571428571428571,0.14285714285714285,1,1,0.0,1.0
Lecture 1,Slide33,1,11,0.9090909090909091,0.09090909090909091,2,2,0.0,1.0
Lecture 1,Slide34,6,9,0.3333333333333333,0.6666666666666666,1,3,0.6666666666666666,0.3333333333333333
Lecture 1,Slide35,6,11,0.45454545454545453,0.5454545454545454,1,1,0.0,1.0
Lecture 1,Slide36,5,14,0.6428571428571429,0.35714285714285715,0,1,1.0,0.0
Lecture 1,Slide37,1,6,0.8333333333333334,0.16666666666666666,1,2,0.5,0.5
Lecture 1,Slide38,9,12,0.25,0.75,1,2,0.5,0.5
Lecture 1,Slide39,10,12,0.16666666666666666,0.8333333333333334,0,1,1.0,0.0
Lecture 1,Slide4,3,10,0.7,0.3,1,2,0.5,0.5
Lecture 1,Slide40,1,4,0.75,0.25,1,2,0.5,0.5
Lecture 1,Slide41,1,4,0.75,0.25,1,3,0.6666666666666666,0.3333333333333333
Lecture 1,Slide42,1,4,0.75,0.25,1,2,0.5,0.5
Lecture 1,Slide43,9,9,0.0,1.0,1,2,0.5,0.5
Lecture 1,Slide44,3,4,0.25,0.75,3,5,0.4,0.6
Lecture 1,Slide45,6,10,0.4,0.6,1,1,0.0,1.0
Lecture 1,Slide46,7,9,0.2222222222222222,0.7777777777777778,1,1,0.0,1.0
Lecture 1,Slide47,3,7,0.5714285714285714,0.42857142857142855,0,0,0.0,1.0
Lecture 1,Slide48,9,12,0.25,0.75,2,2,0.0,1.0
Lecture 1,Slide49,6,9,0.3333333333333333,0.6666666666666666,1,1,0.0,1.0
Lecture 1,Slide5,1,4,0.75,0.25,2,2,0.0,1.0
Lecture 1,Slide50,6,15,0.6,0.4,2,2,0.0,1.0
Lecture 1,Slide6,6,8,0.25,0.75,1,2,0.5,0.5
Lecture 1,Slide7,1,4,0.75,0.25,1,2,0.5,0.5
Lecture 1,Slide8,7,16,0.5625,0.4375,2,3,0.3333333333333333,0.6666666666666666
Lecture 1,Slide9,8,18,0.5555555555555556,0.4444444444444444,1,1,0.0,1.0
