lecture,slide,status,local_hash,onchain_hash
1,1,match,0x772806339a6d80b81b9eb7e5ff272d0cfccd7dc4463b0cb1885737074bff58ab,0x772806339a6d80b81b9eb7e5ff272d0cfccd7dc4463b0cb1885737074bff58ab
1,10,match,0x5a1a662092c5fb6140572c1ae553ff57744ebcff97067268f7d60fbecbebb371,0x5a1a662092c5fb6140572c1ae553ff57744ebcff97067268f7d60fbecbebb371
1,11,match,0x946c386e4fc7b4baffddae3cacd246b298daec4ae0f5cf28b4489e340bda8490,0x946c386e4fc7b4baffddae3cacd246b298daec4ae0f5cf28b4489e340bda8490
1,12,match,0x592bf91801924304ef76f9770b6178f8b644a7cf6e08ddffa0e0e2c4652a8c30,0x592bf91801924304ef76f9770b6178f8b644a7cf6e08ddffa0e0e2c4652a8c30
1,13,match,0x4432624a7069c03c694bad9921a5db5f3e916b9a5853c10ee267af550684c6fa,0x4432624a7069c03c694bad9921a5db5f3e916b9a5853c10ee267af550684c6fa
1,14,match,0x0b34c58d6493fc605b9c476b6eae30ef932f95d4fb3019200c043a1fe0fd92de,0x0b34c58d6493fc605b9c476b6eae30ef932f95d4fb3019200c043a1fe0fd92de
1,15,match,0x03dd795d543f45a38380a717bbe82ba4dc8f4187fce34872d358ffb68fe5e2db,0x03dd795d543f45a38380a717bbe82ba4dc8f4187fce34872d358ffb68fe5e2db
1,16,match,0xca8be182f09bc844c543e774e359d328867b7e34ab664cead0b8fb5d75207dd0,0xca8be182f09bc844c543e774e359d328867b7e34ab664cead0b8fb5d75207dd0
1,17,match,0x768e920efc2e4d1d6a99452913d120f79bd148256decc8c63c7041958cdb9b84,0x768e920efc2e4d1d6a99452913d120f79bd148256decc8c63c7041958cdb9b84
1,18,match,0x9cc69e0fe19f979aec665932c4f5045a9af3e7367d4ae6770ac7edf7af77b079,0x9cc69e0fe19f979aec665932c4f5045a9af3e7367d4ae6770ac7edf7af77b079
1,19,match,0xb1306b34e8f501352554996430fae868c9ba367c5b366da5965d190dd0f4373e,0xb1306b34e8f501352554996430fae868c9ba367c5b366da5965d190dd0f4373e
1,2,match,0x2652f5ae201b2328df2b020c1f1b190677e948a00433aa4005642ce9435e3b64,0x2652f5ae201b2328df2b020c1f1b190677e948a00433aa4005642ce9435e3b64
1,20,match,0xd39554ff138af1d048a7f40185fd452d33ad5adac01d9a07a6f53c824d94ac3b,0xd39554ff138af1d048a7f40185fd452d33ad5adac01d9a07a6f53c824d94ac3b
