lecture,slide,slide_hash,uri,registrant,block_number,timestamp,tx_hash,gas_used,gas_price,gas_cost_wei
1,1,0x772806339a6d80b81b9eb7e5ff272d0cfccd7dc4463b0cb1885737074bff58ab,Lecture 1/Slide1.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,2,1764825564,9d4e0f621e59a58bb1e273b036299c4e836d8c40fe4643cfe64d16a1ab59497f,231412,1771980767,410057613253004
1,2,0x2652f5ae201b2328df2b020c1f1b190677e948a00433aa4005642ce9435e3b64,Lecture 1/Slide2.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,3,1764825565,04a1ac6eb8811e4bb59095d525408cd3a25f396ed477f0ec220d679382d2c4c6,231412,1676971885,388071417851620
1,3,0xbffa12120bf2d2afef1b617cc8ec56419e19b5b2d5563397589d43ebbddbf106,Lecture 1/Slide3.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,4,1764825566,4e7d0f129febbd0666523eda137c62336a58b633ae3ac1c6f45f8dc87d7f4088,231412,1593655895,368791097973740
1,4,0x0c3dba8d73ce3afc6a9e5c78ff48e1020d5dcf3ecb3a7c9b7bf3cc8001b22fd9,Lecture 1/Slide4.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,5,1764825567,44dd171e0f566787c826e9b884027578ee7882a15137223669cff1333f35a807,231412,1520593734,351883637172408
1,5,0x1d176878cf183881bf39d53a5f326f238e5892cda18f19e6fc5dfae9162d09e2,Lecture 1/Slide5.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,6,1764825568,06a277a3bba8c478c2051facd140b8fbc0016f882eeb1a8c35450ca3f47b3a51,231412,1456523448,337057004148576
1,6,0xb3a033993abc27c66308972c7de8aac6aa60b05a6095cef7758df551c97f4208,Lecture 1/Slide6.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,7,1764825569,3ddd4a45eb937a738cec22b7afa75798ac8ca042cc9012f7f02be37a4c7dc5a2,231412,1400338393,324055108200916
1,7,0x49cef2f3a75952d8701af04b009d4333b77a78d80e5fe291884419a647b33793,Lecture 1/Slide7.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,8,1764825570,e16faaae91ccc3160fb0c3215dafabb9fb4567c5c6d62b2a8a6bda4d48b2549d,231412,1351068120,312653375785440
1,8,0x99b761955f32d3876d3b65282c0ff8bd82f5dae5c085e0da01c5bf831a29d9e1,Lecture 1/Slide8.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,9,1764825571,cff85738b91cc39a68e14e15cfb8b4e129d36d25a01a0e16eba49c252bb78254,231412,1307861617,302654872513204
1,9,0x1a766f24755ec0373bd476a86be3471630b9fefe8accec8dc159dafcee636525,Lecture 1/Slide9.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,10,1764825572,d5cc180144c1c25045e5fc9822d353a4f679f00c9e322b1dde8ad7091f98ed8b,231412,1269972606,293886900699672
1,10,0x5a1a662092c5fb6140572c1ae553ff57744ebcff97067268f7d60fbecbebb371,Lecture 1/Slide10.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,11,1764825573,c2e4df09ae67d37f5eb11e4eeb7464dd819a06fb084eeec45629f99fdc7648dd,231424,1236746655,286212857886720
1,11,0x946c386e4fc7b4baffddae3cacd246b298daec4ae0f5cf28b4489e340bda8490,Lecture 1/Slide11.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,12,1764825574,2eaf85779d1ba51e1dd9e569d9a9396b7526e5e89972e86ef22f1b47506dce6f,231424,1207609897,279469912803328
1,12,0x592bf91801924304ef76f9770b6178f8b644a7cf6e08ddffa0e0e2c4652a8c30,Lecture 1/Slide12.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,13,1764825575,2593ad62251ad2e30ecdb8c34cdf4924ebf46961160137d3b135174bcb1dde8b,231424,1182059043,273556831967232
1,13,0x4432624a7069c03c694bad9921a5db5f3e916b9a5853c10ee267af550684c6fa,Lecture 1/Slide13.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,14,1764825576,cf4f1b8fb5012c1e5c4083590a775e20aa68867fa294a70bcf6cace0d04552b6,231424,1159652770,268371482644480
1,14,0x0b34c58d6493fc605b9c476b6eae30ef932f95d4fb3019200c043a1fe0fd92de,Lecture 1/Slide14.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,15,1764825577,479b4b3853987faa1e8669bf2111e38be70ef389ffeff0da47ad4292a81907aa,231424,1140004070,263824301895680
1,15,0x03dd795d543f45a38380a717bbe82ba4dc8f4187fce34872d358ffb68fe5e2db,Lecture 1/Slide15.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,16,1764825578,b8d7d3ea11d992f6cd52678a9d3510c2dbf4df93b6ac5ff30387897eccfa501d,231424,1122773564,259836749275136
1,16,0xca8be182f09bc844c543e774e359d328867b7e34ab664cead0b8fb5d75207dd0,Lecture 1/Slide16.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,17,1764825579,9ad673d9905028750871bb339593e89283fe671c5105d29c946c13f3e3d7ae95,231424,1107663642,256339950686208
1,17,0x768e920efc2e4d1d6a99452913d120f79bd148256decc8c63c7041958cdb9b84,Lecture 1/Slide17.json,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,18,1764825580,9b6ff8da999aac38edea2aa6f92576f46803e9c90f47742db4082d5f9f68c672,231424,1094413320,253273508167680
