tx_hash,block,gas_used,effective_gas_price
9d4e0f621e59a58bb1e273b036299c4e836d8c40fe4643cfe64d16a1ab59497f,2,231412,1771980767
04a1ac6eb8811e4bb59095d525408cd3a25f396ed477f0ec220d679382d2c4c6,3,231412,1676971885
4e7d0f129febbd0666523eda137c62336a58b633ae3ac1c6f45f8dc87d7f4088,4,231412,1593655895
44dd171e0f566787c826e9b884027578ee7882a15137223669cff1333f35a807,5,231412,1520593734
06a277a3bba8c478c2051facd140b8fbc0016f882eeb1a8c35450ca3f47b3a51,6,231412,1456523448
3ddd4a45eb937a738cec22b7afa75798ac8ca042cc9012f7f02be37a4c7dc5a2,7,231412,1400338393
e16faaae91ccc3160fb0c3215dafabb9fb4567c5c6d62b2a8a6bda4d48b2549d,8,231412,1351068120
cff85738b91cc39a68e14e15cfb8b4e129d36d25a01a0e16eba49c252bb78254,9,231412,1307861617
d5cc180144c1c25045e5fc9822d353a4f679f00c9e322b1dde8ad7091f98ed8b,10,231412,1269972606
c2e4df09ae67d37f5eb11e4eeb7464dd819a06fb084eeec45629f99fdc7648dd,11,231424,1236746655
2eaf85779d1ba51e1dd9e569d9a9396b7526e5e89972e86ef22f1b47506dce6f,12,231424,1207609897
2593ad62251ad2e30ecdb8c34cdf4924ebf46961160137d3b135174bcb1dde8b,13,231424,1182059043
cf4f1b8fb5012c1e5c4083590a775e20aa68867fa294a70bcf6cace0d04552b6,14,231424,1159652770
479b4b3853987faa1e8669bf2111e38be70ef389ffeff0da47ad4292a81907aa,15,231424,1140004070
b8d7d3ea11d992f6cd52678a9d3510c2dbf4df93b6ac5ff30387897eccfa501d,16,231424,1122773564
9ad673d9905028750871bb339593e89283fe671c5105d29c946c13f3e3d7ae95,17,231424,1107663642
9b6ff8da999aac38edea2aa6f92576f46803e9c90f47742db4082d5f9f68c672,18,231424,1094413320
2639bad260f45e3ce5b6389afe77fa63c5b2a85f8d898abb116efe0345e217dd,19,231424,1082793735
dcbda952c4be2c9db97eaed04b2a74cb95eee58c819772744a979018b64f05f6,20,231424,1072604189
a59530f06ebeee30775c265e15c2ee201e6bd3f0c9ec4f69fac073da21d5b78b,21,231424,1063668685
c40c9f7a2c500b649268db561e1b6f213f6013f8b9f23f279d97cf6d0c1c3c6e,22,231424,1055832887
4093d4adf5719bff25cb510da1fa9dacb6f9ca74db68a209710641c42682071f,23,231424,1048961452
75d5749d75d5037e4d02fd72d75c27040d1cdaf4db7eb74511dccf5aebf969a8,24,231424,1042935695
96f22841a6b5547a9e2867834fdbe059a7cf197dadfd5a3288af10782325fb3e,25,231424,1037651537
8aa452038b374964e8a470a382676e5b0df909e6226aa56cdeaeb19ce1378766,26,231424,1033017708
a139248da616db0ff3255f32f0adc059f4332ab84dd142a6d8dd248ff87094bc,27,231424,1028954171
10f807ceabd1038d0a16b65ce328501a1c9945d3a1780d672be5422a82a8ec55,28,231424,1025390739
