scenario,network,dataset_size,gas_per_slide,total_gas,blocks_needed,time_seconds,time_hours,time_days,gas_price_gwei,total_cost_eth,total_cost_usd
hash_only,ethereum_l1,1000,231429.479,231429478.962,8,96.0,0.027,0.001,30.0,6.94288437,20828.6531
hash_only,ethereum_l1,10000,231429.479,2314294789.615,78,936.0,0.26,0.011,30.0,69.42884369,208286.5311
hash_only,ethereum_l1,100000,231429.479,23142947896.15,772,9264.0,2.573,0.107,30.0,694.28843688,2082865.3107
hash_only,ethereum_l1,1000000,231429.479,231429478961.504,7715,92580.0,25.717,1.072,30.0,6942.88436885,20828653.1065
hash_only,polygon_pos,1000,231429.479,231429478.962,8,16.0,0.004,0.0,5.0,1.15714739,3471.4422
hash_only,polygon_pos,10000,231429.479,2314294789.615,78,156.0,0.043,0.002,5.0,11.57147395,34714.4218
hash_only,polygon_pos,100000,231429.479,23142947896.15,772,1544.0,0.429,0.018,5.0,115.71473948,347144.2184
hash_only,polygon_pos,1000000,231429.479,231429478961.504,7715,15430.0,4.286,0.179,5.0,1157.14739481,3471442.1844
hash_only,optimism_like,1000,231429.479,231429478.962,8,16.0,0.004,0.0,1.0,0.23142948,694.2884
hash_only,optimism_like,10000,231429.479,2314294789.615,78,156.0,0.043,0.002,1.0,2.31429479,6942.8844
hash_only,optimism_like,100000,231429.479,23142947896.15,772,1544.0,0.429,0.018,1.0,23.1429479,69428.8437
hash_only,optimism_like,1000000,231429.479,231429478961.504,7715,15430.0,4.286,0.179,1.0,231.42947896,694288.4369
hash_only,arbitrum_like,1000,231429.479,231429478.962,8,2.0,0.001,0.0,0.5,0.11571474,347.1442
hash_only,arbitrum_like,10000,231429.479,2314294789.615,78,19.5,0.005,0.0,0.5,1.15714739,3471.4422
hash_only,arbitrum_like,100000,231429.479,23142947896.15,772,193.0,0.054,0.002,0.5,11.57147395,34714.4218
hash_only,arbitrum_like,1000000,231429.479,231429478961.504,7715,1928.75,0.536,0.022,0.5,115.71473948,347144.2184
hash_plus_metadata_x2,ethereum_l1,1000,462858.958,462858957.923,16,192.0,0.053,0.002,30.0,13.88576874,41657.3062
hash_plus_metadata_x2,ethereum_l1,10000,462858.958,4628589579.23,155,1860.0,0.517,0.022,30.0,138.85768738,416573.0621
hash_plus_metadata_x2,ethereum_l1,100000,462858.958,46285895792.301,1543,18516.0,5.143,0.214,30.0,1388.57687377,4165730.6213
hash_plus_metadata_x2,ethereum_l1,1000000,462858.958,462858957923.008,15429,185148.0,51.43,2.143,30.0,13885.76873769,41657306.2131
hash_plus_metadata_x2,polygon_pos,1000,462858.958,462858957.923,16,32.0,0.009,0.0,5.0,2.31429479,6942.8844
hash_plus_metadata_x2,polygon_pos,10000,462858.958,4628589579.23,155,310.0,0.086,0.004,5.0,23.1429479,69428.8437
