lecture,slide,good_hash,chain_hash,match_good,corrupted_hash,match_corrupted
11,21,0xc588752ee95fb57e2d3922004ab064eb6af976dfc53e5cd6ce13e6a69f1024,0x21c588752ee95fb57e2d3922004ab064eb6af976dfc53e5cd6ce13e6a69f1024,False,0x4be456cb4659ec3ab5802bf8a5cc7c5090a1a21b38390f53dd9070e00508be,False
20,54,0xdd00f731f27887eecfa7662bf03203e445e4a5c8deff983b6a98acb23e4a4b,0x37dd00f731f27887eecfa7662bf03203e445e4a5c8deff983b6a98acb23e4a4b,False,0x42a371a47bc9e52146af7750711c3b0046a743636b1061157412b764072a6c,False
20,13,0xe3df97164893f71f908a49ff0254c8d401656899095e9ca758efeb35835219,0x1fe3df97164893f71f908a49ff0254c8d401656899095e9ca758efeb35835219,False,0xdebaa4b1b9f7e690d35fb301d4cdf8cf4d096d5b877e2b3d2ccfb86c4d26c0,False
15,8,0xf11a97e41dc051327c7dbf9ef688c972ce4c1195c6fb463de43b03cf65b71a,0xb7f11a97e41dc051327c7dbf9ef688c972ce4c1195c6fb463de43b03cf65b71a,False,0xa3b3dd77c04de33bd626a1760cab2f8ce87529bff90d3fc47a05d6d74434a2,False
23,5,0x2a9554945be4ec5be2873e0d6e07eabcc99ac37464b1afd1dc4d66f118e311,0xff2a9554945be4ec5be2873e0d6e07eabcc99ac37464b1afd1dc4d66f118e311,False,0xbc38ca88346f5be490f31dc703091c678628c1ec63369d70bc010ced384d0e,False
11,38,0x0a4c88ffdf1b7df05a50819e94e745968691eb058b85104214b5223c17916b,0xca0a4c88ffdf1b7df05a50819e94e745968691eb058b85104214b5223c17916b,False,0x032eca14c6be10998145fd12aa8d865fdd3390cd032e085288e7583b61f625,False
12,45,0xfd4f3f40e27b17922b5727dfd74b98a942f764efe23b9e7d1476c41f128875,0x6ffd4f3f40e27b17922b5727dfd74b98a942f764efe23b9e7d1476c41f128875,False,0xf221ba6c97eefb1076e7c853fe5a06e193d04403a4fba950c54069cf278c22,False
6,23,0xafbf24834c3c219d8bb9983070ffa16ed0abe5e04b96e3695e5fd5aa018284,0x7dafbf24834c3c219d8bb9983070ffa16ed0abe5e04b96e3695e5fd5aa018284,False,0xdeeefaa952ae8c82652ca39f5408dab405a20402dff6d11b215fa85e904e97,False
18,22,0x7afa7b77c5a9d4d36bf2495111857b0e7de6c609c5d6fe9da367062b9e4555,0x257afa7b77c5a9d4d36bf2495111857b0e7de6c609c5d6fe9da367062b9e4555,False,0x3daffac948aed400ea74e4043e6c868e220311fc868fa0d36c4679911d834b,False
16,55,0x709d8810c0d6165eb152b7be1c91836389dc19f842fed6d435418cdd338f29,0x3e709d8810c0d6165eb152b7be1c91836389dc19f842fed6d435418cdd338f29,False,0xdfadfd021ee390d47ff49335a9990f1864f13460e4334cfa6eee1f61c70a41,False
20,48,0xc3c1c77dcccd3597f9998c5a84e1ab13d51efc35833c35e35b7420a16df1c1,0x78c3c1c77dcccd3597f9998c5a84e1ab13d51efc35833c35e35b7420a16df1c1,False,0x147853e0621a2e562731e6d78352eafeec16a9546fbfec73989af8d0bedbee,False
19,14,0x007ffa5ad58e9f45523c501403c2472371bbb3c7d80d19199ad782345697de,0xb6007ffa5ad58e9f45523c501403c2472371bbb3c7d80d19199ad782345697de,False,0x98406c4339e252adb9796582014485b1759b9acdf1664e75c4ebf6362bf11c,False
6,19,0x2e9ed845797aad42d0d028d9b556ab1d618df85c77c389c239f8a3f83f1a25,0x062e9ed845797aad42d0d028d9b556ab1d618df85c77c389c239f8a3f83f1a25,False,0xe88ef2a07303f7cde55bba3e07f9f67667982bd589b13ec74955d87f4a659b,False
6,15,0xcbd7af0a285468b38053aeb45dc426b6486f79e05c0ebb893d0302b78f7b68,0xafcbd7af0a285468b38053aeb45dc426b6486f79e05c0ebb893d0302b78f7b68,False,0x274d848974e531ebd72e0d5a8f941b8ac11a0376b45f2ea61af272e64330e2,False
16,41,0xb3895cd3c3deac1b32183eeaf17097b33f8b110eae7a56870f38fcb6d643df,0x79b3895cd3c3deac1b32183eeaf17097b33f8b110eae7a56870f38fcb6d643df,False,0x39e8528b2bde94534ffd7cece98a357e18f9b492044a0c59b66602f9b28dd3,False
5,44,0x7356325bdcafd8a64eccb583709bf0dbed4e453e5e159d652898c40ad0ebe3,0x6f7356325bdcafd8a64eccb583709bf0dbed4e453e5e159d652898c40ad0ebe3,False,0x88caee0cfd87cf3c26286fe5f9f1f72abda15bc96ba4989ceae4ae3bdf1040,False
19,24,0x76bc2ee9150bb3332164cc300343a796dae6409b6cba60989e2ad165aa4984,0x3976bc2ee9150bb3332164cc300343a796dae6409b6cba60989e2ad165aa4984,False,0x942bac5f7c52eb9f84cce56f58c5c9fb4f5316c982b1abdefd37b1df47b5bb,False
